If,Tree,Input,Size,Time,GPU
1023,1,1,100000000,78.170ms,GeForce GTX 1050 Ti
1023,1,1,50000000,55.750ms,GeForce GTX 1050 Ti
1023,2,1,100000000,163.34ms,GeForce GTX 1050 Ti
1023,2,1,50000000,116.23ms,GeForce GTX 1050 Ti
1023,3,1,100000000,312.81ms,GeForce GTX 1050 Ti
1023,3,1,50000000,187.91ms,GeForce GTX 1050 Ti
1023,4,1,100000000,337.54ms,GeForce GTX 1050 Ti
1023,4,1,50000000,248.45ms,GeForce GTX 1050 Ti
127,1,1,100000000,58.865ms,GeForce GTX 1050 Ti
127,1,1,50000000,28.446ms,GeForce GTX 1050 Ti
127,2,1,100000000,129.64ms,GeForce GTX 1050 Ti
127,2,1,50000000,64.458ms,GeForce GTX 1050 Ti
127,3,1,100000000,205.27ms,GeForce GTX 1050 Ti
127,3,1,50000000,104.25ms,GeForce GTX 1050 Ti
127,4,1,100000000,284.82ms,GeForce GTX 1050 Ti
127,4,1,50000000,143.29ms,GeForce GTX 1050 Ti
15,1,1,100000000,20.325ms,GeForce GTX 1050 Ti
15,1,1,50000000,10.973ms,GeForce GTX 1050 Ti
15,2,1,100000000,32.088ms,GeForce GTX 1050 Ti
15,2,1,50000000,15.958ms,GeForce GTX 1050 Ti
15,3,1,100000000,47.809ms,GeForce GTX 1050 Ti
15,3,1,50000000,24.481ms,GeForce GTX 1050 Ti
15,4,1,100000000,63.331ms,GeForce GTX 1050 Ti
15,4,1,50000000,31.477ms,GeForce GTX 1050 Ti
1,1,1,100000000,8.2703ms,GeForce GTX 1050 Ti
1,1,1,50000000,4.1801ms,GeForce GTX 1050 Ti
1,2,1,100000000,10.554ms,GeForce GTX 1050 Ti
1,2,1,50000000,4.8650ms,GeForce GTX 1050 Ti
1,3,1,100000000,11.086ms,GeForce GTX 1050 Ti
1,3,1,50000000,5.5344ms,GeForce GTX 1050 Ti
1,4,1,100000000,13.308ms,GeForce GTX 1050 Ti
1,4,1,50000000,6.2146ms,GeForce GTX 1050 Ti
255,1,1,100000000,77.613ms,GeForce GTX 1050 Ti
255,1,1,50000000,37.755ms,GeForce GTX 1050 Ti
255,2,1,100000000,168.53ms,GeForce GTX 1050 Ti
255,2,1,50000000,83.861ms,GeForce GTX 1050 Ti
255,3,1,100000000,250.76ms,GeForce GTX 1050 Ti
255,3,1,50000000,127.32ms,GeForce GTX 1050 Ti
255,4,1,100000000,339.22ms,GeForce GTX 1050 Ti
255,4,1,50000000,170.28ms,GeForce GTX 1050 Ti
31,1,1,100000000,37.522ms,GeForce GTX 1050 Ti
31,1,1,50000000,18.466ms,GeForce GTX 1050 Ti
31,2,1,100000000,61.545ms,GeForce GTX 1050 Ti
31,2,1,50000000,30.771ms,GeForce GTX 1050 Ti
31,3,1,100000000,93.532ms,GeForce GTX 1050 Ti
31,3,1,50000000,46.516ms,GeForce GTX 1050 Ti
31,4,1,100000000,123.07ms,GeForce GTX 1050 Ti
31,4,1,50000000,61.454ms,GeForce GTX 1050 Ti
3,1,1,100000000,9.0931ms,GeForce GTX 1050 Ti
3,1,1,50000000,4.5294ms,GeForce GTX 1050 Ti
